Time,Vehicle,Speed,Plate,Violation,Image
1781655579,Car,41.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781655579.jpg
1781655582,Car,41.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781655582.jpg
1781655622,Car,44.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781655622.jpg
1781655629,Car,40.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781655629.jpg
1781655706,Car,45.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781655706.jpg
1781655733,Bus,43.1,Unknown,Overspeed,violation_images/Overspeed_Bus_1781655733.jpg
1781655745,Car,43.1,Unknown,Overspeed,violation_images/Overspeed_Car_1781655745.jpg
1781655784,Car,46.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781655784.jpg
1781655787,Car,49.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781655787.jpg
1781655819,Car,41.9,Unknown,Overspeed,violation_images/Overspeed_Car_1781655819.jpg
1781655829,Car,43.9,Unknown,Overspeed,violation_images/Overspeed_Car_1781655829.jpg
1781655859,Bus,50.1,Unknown,Overspeed,violation_images/Overspeed_Bus_1781655859.jpg
1781655866,Car,45.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781655866.jpg
1781655884,Car,44.8,Unknown,Overspeed,violation_images/Overspeed_Car_1781655884.jpg
1781655964,Car,40.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781655964.jpg
1781655984,Car,40.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781655984.jpg
1781656005,Car,55.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781656005.jpg
1781656028,Car,41.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781656028.jpg
1781656060,Car,50.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781656060.jpg
1781656097,Car,50.9,Unknown,Overspeed,violation_images/Overspeed_Car_1781656097.jpg
1781656104,Bus,47.6,Unknown,Overspeed,violation_images/Overspeed_Bus_1781656104.jpg
1781656123,Car,22.7,Unknown,Lane Change,violation_images/Lane Change_Car_1781656123.jpg
1781656128,Truck,40.2,Unknown,Overspeed,violation_images/Overspeed_Truck_1781656128.jpg
1781656169,Car,44.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781656169.jpg
1781656223,Car,40.8,Unknown,Overspeed,violation_images/Overspeed_Car_1781656223.jpg
1781656251,Car,13.0,Unknown,Lane Change,violation_images/Lane Change_Car_1781656251.jpg
1781656279,Car,43.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781656279.jpg
1781656301,Car,40.9,Unknown,Overspeed,violation_images/Overspeed_Car_1781656301.jpg
1781656340,Bus,41.0,Unknown,Overspeed,violation_images/Overspeed_Bus_1781656340.jpg
1781656380,Car,41.9,Unknown,Overspeed,violation_images/Overspeed_Car_1781656380.jpg
1781656397,Car,42.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781656397.jpg
1781656417,Car,41.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781656417.jpg
1781656433,Truck,43.3,Unknown,Overspeed,violation_images/Overspeed_Truck_1781656433.jpg
1781656465,Car,40.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781656465.jpg
1781656479,Car,23.6,Unknown,Lane Change,violation_images/Lane Change_Car_1781656479.jpg
1781656480,Car,40.1,Unknown,Overspeed,violation_images/Overspeed_Car_1781656480.jpg
1781656537,Car,43.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781656537.jpg
1781656545,Car,42.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781656545.jpg
1781656566,Truck,43.1,Unknown,Overspeed,violation_images/Overspeed_Truck_1781656566.jpg
1781656591,Car,40.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781656591.jpg
1781656613,Car,40.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781656613.jpg
1781656635,Car,43.9,Unknown,Overspeed,violation_images/Overspeed_Car_1781656635.jpg
1781656691,Bus,51.9,Wngrii145441,Overspeed,violation_images/Overspeed_Bus_1781656691.jpg
1781656752,Car,40.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781656752.jpg
1781656778,CNG/Auto/Bike,48.6,Unknown,Overspeed,violation_images/Overspeed_CNG/Auto/Bike_1781656778.jpg
1781656791,Car,41.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781656791.jpg
1781656810,Car,57.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781656810.jpg
1781656823,Car,49.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781656823.jpg
1781656859,CNG/Auto/Bike,47.9,Unknown,Overspeed,violation_images/Overspeed_CNG/Auto/Bike_1781656859.jpg
1781656965,Car,40.5,Unknown,Overspeed,violation_images/Overspeed_Car_1781656965.jpg
1781657029,Bus,19.3,Unknown,Lane Change,violation_images/Lane Change_Bus_1781657029.jpg
1781657042,Car,42.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781657042.jpg
1781657091,Car,42.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781657091.jpg
1781657091,Car,42.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781657091.jpg
1781657100,Car,40.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781657100.jpg
1781657102,Car,58.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781657102.jpg
1781657111,Car,18.6,Unknown,Lane Change,violation_images/Lane Change_Car_1781657111.jpg
1781657127,Car,49.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781657127.jpg
1781657168,Truck,41.6,Unknown,Overspeed,violation_images/Overspeed_Truck_1781657168.jpg
1781657174,Car,41.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781657174.jpg
1781657189,CNG/Auto/Bike,40.9,Unknown,Overspeed,violation_images/Overspeed_CNG/Auto/Bike_1781657189.jpg
1781657247,Car,47.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781657247.jpg
1781657249,Car,53.8,Unknown,Overspeed,violation_images/Overspeed_Car_1781657249.jpg
1781657271,Car,61.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781657271.jpg
1781657272,Truck,42.8,Unknown,Overspeed,violation_images/Overspeed_Truck_1781657272.jpg
1781657330,Car,42.9,Unknown,Overspeed,violation_images/Overspeed_Car_1781657330.jpg
1781657357,Truck,41.2,Unknown,Overspeed,violation_images/Overspeed_Truck_1781657357.jpg
1781657366,Car,56.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781657366.jpg
1781657366,Truck,59.9,Unknown,Overspeed,violation_images/Overspeed_Truck_1781657366.jpg
1781657393,Car,44.9,Unknown,Overspeed,violation_images/Overspeed_Car_1781657393.jpg
1781657396,Car,41.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781657396.jpg
1781657419,Car,60.1,Unknown,Overspeed,violation_images/Overspeed_Car_1781657419.jpg
1781657452,Car,45.8,Unknown,Overspeed,violation_images/Overspeed_Car_1781657452.jpg
1781657459,Car,41.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781657459.jpg
